Listing Id|Review 1|Review 2|Review 3|Review 4|Review 5|name|neighbourhood|room_type|picture_url|listing_url
13054720|Great place!|Jennifer is fantastic, and her apartment was great. Couldn't recommend her more. |na |Parfait pour un court sjour. Quartier tranquille et  distance tout  fait raisonnable ( pied) de plusieurs attractions et restaurants. Jennifer s'est assure que nous puissions avoir la place de stationnement parfaite (et gratuite) pour tout le sjour. Boston est une ville agrable pour les pitons. Nous recommandons vivement cette hte. |Jennifer's space is beautiful and located very close to public transport and many sights in the Boston area. She was very kind, personable and helpful.  We left early due to the heat inside the home as the temperature climbed to the nineties. She had very small table top fans which circulated warm air, but did little to cool the space. I would advise anyone considering the space to avoid hot Boston months like July and August. |Historic Brownstone in South EndNortheastern|Roxbury|Entire home/apt|https://a0.muscache.com/im/pictures/9de56646-5fdb-40cf-a5a5-1b97d816344b.jpg?aki_policy=large|https://www.airbnb.com/rooms/13054720
2395326|Tim's place  was perfect for our stay in Boston.|Tim did a great job.|great stay|Supper easy! Great location!|Thanks Tim! Great place to stay. Awesome location!!|Classic South End Brownstone-1 BR|South End|Entire home/apt|https://a0.muscache.com/im/pictures/1daade67-632e-427e-b07f-fa222e1142a2.jpg?aki_policy=large|https://www.airbnb.com/rooms/2395326
8065282|Staying here was very nice. Jordan was very helpful in setting me up when I first arrived. The neighborhood is also very conveniently located.|The property is the ground floor of a town house on Chelsea street. It's exactly 3 minutes away from the T station, and a 7 minute drive to the airport. The neighborhood is safe and quiet. Amazingly accessible to all things Boston, and great value for money. Jordan is a great host who sometimes goes out of his way to accommodate, and tries to find solutions to any problem that comes up to make our stay more comfortable. We have really felt it to be our home during our 15-day stay.|Great location, close proximity to the T station and airport. The apartment's interior was a bit dated but very spacious, especially the living area. The host provided lots of handy local information and was quick to respond to my enquiries. It was a very pleasant stay overall.|Everything was great!thank you jordan|This place is in a great location with plenty to do and see around the area - it was clean and tidy and spacious so was a pleasure to spend time there |Save , walk to airport  train|East Boston|Entire home/apt|https://a0.muscache.com/im/pictures/2bcebdfe-0192-451c-b98c-2918664d9660.jpg?aki_policy=large|https://www.airbnb.com/rooms/8065282
8751275|It's a really tidy place, the guide from host is really clear and host is helpful as well.|The place of the room was really good , it was quite and near the subway station. Also the bed was too comfortable let me almost miss the check out time. Sicerely recommend the nice host and his apartment.|Great location and just quick light rail rides from the downtown and historical districts! We weren't entirely aware it was a shared Airbnb location, so you have to be prepared that you're sharing common spaces like the bathroom and kitchen with other folks. It's pretty minimal for amenities. We didn't meet the hosts and only saw the other Airbnb people for twenty seconds.   The greatest thing about this experience was how kind Yu-Chen was about getting us into the space with travel plans that would have left us with nowhere to go for many cold hours with all our luggage. We are so appreciative for his flexibility! |Very happy with my stay here. The accommodation was as described and the host was very helpful.|Het was een geweldige ervaring. Het huis was stil, schoon, het bed sliep heerlijk en de metro stopte voor de deur. Ook was er op 3 minuten lopen een supermarkt aanwezig die 24 uur per dag open is! Yu-Chen had leuke aanbevelingen over de buurt en reageerde vrijwel direct op onze vragen via de chat. De buurt leeft en voelt zeer veilig. We zouden hier absoluut nog een keer verblijven :) |Comfortable Queen Size Bed Room in Allston Room 2|Allston|Private room|https://a0.muscache.com/im/pictures/1f5778eb-2a07-4ad9-a77b-1b6066fc1701.jpg?aki_policy=large|https://www.airbnb.com/rooms/8751275
6134145|Great Location!|Very clean and great location to stay.|Great place!|Great place|The apartment was clean and the location perfect |Immaculate in the North End|North End|Entire home/apt|https://a0.muscache.com/im/pictures/82695137/09cb2acc_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/6134145
2441095|It was a great stay at Shawns apartment! It was clean and comfortable and it's close to the city Center. A good spot to start your sightseeing tour!|Great place for the price. Lots of stuff within walking distance and 5-10 min walk to the subway. |It was okay. The perk of living in Shawn's is the location. But otherwise it was okay. |Nice flat, nice and clean, short walk to the train into town.|The listing has been reported to the Boston Fire Prevention dept., there was a smoke detector that had been removed between the bedrooms, and several other empty brackets in the apartment, they are out of compliance according to who we spoke to.  We had no problem with the neighborhood, but wouldn't recommend the apartment to anyone with health issues getting around as the staircase is steep and narrow.  With the sloped floors in the bedroom, placing anything on the desk could mean you could lose it, ex. earrings.  The missing towel bar in the bathroom meant that all towels were hung in the bedroom closet, making the closet area less useful.  With air conditioning in only the living area, and 1 bedroom, means that someone will not be comfortable at night.  The scratched teflon on the pans made them something I didn't want to use, as well as the filth on the kitchen floor upon check-in, and the cabinet that was filled with bags that were stuck to it?!  The beds were not great, reminded me of my grandmother's antique from 30+ years ago, but I guess that's better than a bed that's rock hard.  Although Shawn was decent about getting back to us with a few things, we lost about an hour the first day just cleaning the apartment and washing the floor to make it palatable for our stay.  When you pre-pay for your vacation and visit, it doesn't make it easy to just walk away, so we made the best of it.|Economical 2 Bedroom Condo Near Subway (88B)|East Boston|Entire home/apt|https://a0.muscache.com/im/pictures/34271804/01695654_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/2441095
1584362|I had great days in Boston with this room. Thanks.|We had a great stay.|The room is very beautiful, and the bathroom is clean. It's a nice choice to live in Barney and Mary's house!|great place to stay. only about 5 miles from the downtown area. room was very clean. regret not having explored house. they left us a very good breakfast as well. |I am a frequent guest at the Carney's. Always a pleasure. Best place to stay in Boston.|Grace's Harborview Fast T Downtown|Dorchester|Private room|https://a0.muscache.com/im/pictures/32617818/1a82221c_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/1584362
2183058|Loved my stay at Cindy and Mark's place. Everything was perfect.|Mark and Cindy were great hosts. And if we had any questions their responses were prompt and very helpful. We would definitely recommend both of them to other friends and family. |Fantastic rental in a great part of town.  Our visit to the condo in the heart of the north end was wonderful.  Cindy + Mark very welcoming and responsive.  I would totally rent again and send my friends. |Had a wonderful stay at Cindy and Mark's place. A great apartment with very nice hosts. Would definitely come back!|This is the best location for a trip to Boston. In the middle of everything--great sights and eats. Cindy and Mark are gracious hosts and were responsive to any requests. I would definitely stay here again!|Historic Boston North End Condo|North End|Entire home/apt|https://a0.muscache.com/im/pictures/30986438/78c78069_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/2183058
12233043|Specious place and very nice host!|Ricardo's place is conveniently located and was a joy to stay at, with finishing touches to make the stay easier - towels, shower gel and amenities in the bathroom. Kitchen and common areas are well kept and equipped.|Rummet var precis som beskrivet o mycket vlstdat. Hela huset var rent och frscht. Ricardo va en trevlig vrd o hade tagit fram kartor o broschyrer vi kunde titta i. Bde incheckning o utcheckning var mycket enkelt. Jttesmidigt att ta sig in till downtown Boston d tunnelbanan lg ett par minuters gngvg bort.|Nice and clean room. Perfect for my 2-Day-Stay in Boston. Subway is only 5 minutes away.|Our stay at Ricardo's went very well. His directions were spot on.  It was clean, comfortable, and we were blessed that it was a cooler evening outside so we were able to open the windows.  It was nice meeting other people staying there.  We would stay here again. | AIRBNB HOTEL 5|East Boston|Private room|https://a0.muscache.com/im/pictures/60730e1b-c4a3-46a0-aea3-35a039ce695c.jpg?aki_policy=large|https://www.airbnb.com/rooms/12233043
4549374|Scott was great, the apartment was everything he said. We were very happy would use it again.|Place was great loved the shower. Clean  comfortable would def stay again! |Scott's place was perfect location, very clean and the roof deck is amazing. Highly recommended!!|Scott was great!  The place is charming and within walking distance of some great restaurants!!|Scott was great host and created a fantastic Place in South End . WE really enjoyed the Penthouse were you find everything you Need ! |South End Luxury Penthouse|South End|Entire home/apt|https://a0.muscache.com/im/pictures/57129986/72bbc578_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/4549374
9896713|It was great staying at this place.|Erin was very responsive and helpful. I had a great stay.|This is a great place to stay and a good deal. It was very clean and bigger than we expected. Hosts are very helpful and quick to respond |Erin's place was perfect for our visit to Boston. And wonderful, charming neighborhood.  A nice and quiet respite after a busy day in downtown Boston and a Red Sox game at Fenway.  The apartment had everything we needed to be comfortable. Erin was correct in her description: the pull out couches are definitely only suitable for one person. We appreciated her letting us know that upfront.   Thank you, Erin, for being a great host!|Unfortunately, this experience wasn't the best. Erin was good with communication and check-in was easy. However, there was a strong odor present in the apartment and it was a bit musty. The linens as well were not finished upon arrival and my staff had to re-dry the towels in order to use them.  |Camp Chandler Pond|Brighton|Entire home/apt|https://a0.muscache.com/im/pictures/d1a8522b-e781-4fd1-94d4-f975e86d35a4.jpg?aki_policy=large|https://www.airbnb.com/rooms/9896713
1252289|Chris and Claire were super accommodating and let us checked in early as we took a red eye into Boston. The room was not big but very cozy. The bathroom was very clean and specious. Overall we had a pleasant stay!|Trs bien reus par Chris et Claire. L appartement est comme dcrit sur le site. Endroit trs calme. A recommander.||Very welcoming and accommodating. |The experience was really great.Chris and Claire are pretty nice.|South End brownstone private room|South End|Private room|https://a0.muscache.com/im/pictures/48066799/2f783fd5_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/1252289
526970|,,Robert,,!|Robert was a nice host!|Robert was a great host and the location of his listing was great!|Great location, have stayed here three times when I've run the Boston Marathon. Within walking distance of any main attraction. Not a five star hotel but clean and quiet. If your like me if your visiting Boston you spend very little time in your room anyway. Wouldn't hesitate to stay here again.|The location is prefect , and the room was good. He's friendly |BACK BAYCOPLEY FIRST FLOOR ROOM|South End|Private room|https://a0.muscache.com/im/pictures/72491550/87610c6d_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/526970
2698996|I've stayed at Ray's place on two separate occasions and believe that speaks for itself. He's a great host.|We loved our stay! Ray is very kind and the place is lovely. |Great location and Ray was very helpful and friendly.  House is very clean and welcoming. |Ray was a great host and I look forward to staying at his place on my next trip to Boston.|Great Location and easy to walk anywhere in JP! Clean room and Ray was very welcoming. |Room in Pondside Apt!|Jamaica Plain|Private room|https://a0.muscache.com/im/pictures/36551170/c9193c85_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/2698996
9145242| |Mr. Ivan is a very nice host. He is very helpful and made me feel welcomed ! |Ivan was excellent in communicating with us. The room was very close to the airport.|Nice clean room. Helpful host.|Ivan e la sua famiglia sono fantastici ed accoglienti. La stanza  grande e confortevole e dotata di tutte le necessit. L'ubicazione  ideale per raggiungere l'areoporto ed  vicinissima alla fermata T airport. Consigliato!|Nice room steps to Airport  Subway|East Boston|Private room|https://a0.muscache.com/im/pictures/1e2c4470-c08a-4387-b83e-ba20443d2918.jpg?aki_policy=large|https://www.airbnb.com/rooms/9145242
7988755|Me encant el lugar, es precioso, cerca del centro de Boston, Sarah nos hizo sentir como en casa. Fue muy agradable convivir con Sarah. |Such a lovely home!. My husband and I spend the 4th of July weekend there. We didin't have the opportunity to met Sarah in person, but we constantly communicate each other every time that we needed without a problem. The neighborhood is really nice, and you can take a long walk by the side of the beach. It was beautiful!.  From the apartment you can walk about 25 min until one of the main venues with good restaurants and bars to spend a good time. Sarah has good recommendations if you want to hangout in Boston.  I totally recommend this place to stay if you want to spend a relaxed and good time in Boston. |Sarah is a friendly host and the place they provided is really nice and clean. The real place looks exactly the same as the pictures. It was a pleasant time staying there.|Ce logement est trs propre et dcor avec got. Peu de contacts avec les autres mais il y a tout ce qu'il faut en quipements. Les transports en communs sont tout proches. La literie est de bonne qualit et le lieu est trs calme. C'est une bonne adresse ;) |Sarah is very nice and patient. The house is very clean and cozy. Also, it is convenient to go to the downtown of Boston. |Private RoomBath+Breakfast4min walk from Train|South Boston|Private room|https://a0.muscache.com/im/pictures/104649958/bcd68554_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/7988755
3520353|Apartment was lovely.  Great location! I will certainly be looking to stay there again when I am in Boston.  |Great, centrally located apartment. Xerxes is a good communicator. Enjoyed our stay. |This place really exceeded our expectations. It was perfectly located, we walked everywhere from here (close to everything but still the street was quiet) It's just as beautiful as in the pictures, the kitchen is fully equipped (especially for coffee lovers!). It was clean and in pristine condition. The only problem is that the AC is in the living room, and it takes a bit for the apartment to cool down during the hot summer days. But again, it wasn't really a problem since everything else was perfect. We would definitely stay here again when visiting boston.|Xerxes's apartment was absolutely beautiful! We really enjoyed our stay and would highly recommend.|Xerxes' Beacon Hill apartment was exactly as described---a great, remarkably quiet one-bedroom in Boston's best neighborhood! The location was perfect.|Luxury Beacon Hill Apartment 1-BR|Beacon Hill|Entire home/apt|https://a0.muscache.com/im/pictures/44429920/65781092_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/3520353
815639|Excellent location, great bed, good shower. Close to cannoli, 24 hours a day!|Great location. The apartment is OK. |We only stayed overnight, but the apt was just as shown in website. It was very walkable to what we were doing in Boston. |The location of the space couldn't be better but the comfort negatively impacted our stay.  The main issues were the noise and the bed.    Although the listing notes the importance of being quiet and using inside voices, even inside voices can be heard from the people upstairs as well as *every* step that's made.  It's an old space, which is charming, but the noise level makes it very hard to rest or sleep -- we heard intimate moments from above, and then a new group came and we heard an infant crying all through the night. Neither of these were parties -- so complaints to Jose would not have been appropriate -- but they certainly were still heard!  It's actually like being in the room with your upstairs neighbor, although you also hear every creaky footstep.    The other main issue was the mattress in that there's a dip in its center that makes it impossible to even lay flat. It's clearly overused and ready to be replaced.  These two issues combined resulted in little sleep and also no place to rest, which unfortunately had a negative impact on our ability to fully enjoy the Boston visit.    As far as furnishings, there are no period pieces as noted in the listing and the loveseat is so uncomfortable it's hard to sit on.    Jose's nice and responsive, but be forewarned about these issues with the space.  I was disappointed that few prior reviewers noted such concerns, so I'm being honest here.|Great location and stay for our trip to Boston. |Sophisticated Saucy Studio  Easy T Access!|North End|Entire home/apt|https://a0.muscache.com/im/pictures/65132841/e012f427_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/815639
11498523|Great place if you are looking for convenience to the T line and the airport.  Expect more of a youth hostel -- no frills -- experience, however.  Clean and high walkability, with parking, which is a major plus.|Good place, close to the subways. |Ricardo is a great host! Very friendly. Would definitely recommend to friends. The room was clean and the bed was comfortable. We wish we could've stayed longer!|very good place |Ricardo's hostel was simple and what we needed for crashing during our time in Boston. This room is right off the kitchen and was a bit loud. Communication with Ricardo was simple and straight-forward. Location to the T and airport was highly convenient. I would recommend this listing for solo travelers and couples.| AIRBNB HOTEL 3|East Boston|Private room|https://a0.muscache.com/im/pictures/5a3ac670-1300-47a0-b080-cbc0ff161ab6.jpg?aki_policy=large|https://www.airbnb.com/rooms/11498523
8988506|Apartment is in a very convenient location and having Wholefoods next door is great. I always find short term rentals in Boston expensive but Josh's apartment is very good value. Would definitely recommend this property. |Spacious and extremely clean.|Amazing place! Really clean and complete with all the ammenities included, great location as well as great host, Josh was pending at all times and willing to help on wathever was needed. The apt building is very modern and the concierge team were very helpfull and providing and amazing service. I recommend this place for anyone coming on short or long term since its location allows you to move around very easily and to feel just at home on the time you spend on the apartment.|Good apartment, liked to location. Place needs a little bit of upkeep. |The apartment was great, with easy access to center of Boston and South Station and convenient shopping at Whole Foods,  which is directly opposite the apartment. It's in great condition overall, it was just disappointing that the kitchen drawers and cupboards were dirty, two of the pans were covered in rust,  and there were only a few glasses.  These things stood out mainly because the rest of the apartment was in immaculate condition.  Josh was pleasant to deal with and got the WiFi and cable (which weren't working when we arrived) fixed quickly. Overall, if Josh can deal with the kitchen issues, I'd recommend it without hesitation. |Lux City Pad 22 with huge terrace!|South End|Entire home/apt|https://a0.muscache.com/im/pictures/abf50bfa-639e-4fb9-b46d-0c55fc458448.jpg?aki_policy=large|https://www.airbnb.com/rooms/8988506
77691|nice room|Clean and nice room|We had a great stay at Hermina's house. Very convenient and easy to get to Boston. Thxs !|We enjoyed our stay at Hermina's.|Excellent host,! Nice room,  Close to the subway, 5 out of 5!|Beautiful Victorian House Room B|Dorchester|Private room|https://a0.muscache.com/im/pictures/18698089/0b22a030_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/77691
3890373|Paul and his place were great!|Paul was very accommodating, the place was clean and comfortable, and the location was great.|Great!|Perfekt um Boston zu Fu zu erkunden. Praktisch: Whole Foods Supermarkt in der Nhe. Wir hatten etwas Baulrm frh am Morgen, aber die Baustelle wird irgendwann ja einmal nicht mehr bentigt werden.|The apartment worked out very well for us. Paul was easy to work with and very accommodating.|BEACON HILL FABULOUS ONE BEDROOM|Beacon Hill|Entire home/apt|https://a0.muscache.com/im/pictures/60030787/702b12b0_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/3890373
15536111|Location is a 10min walk to the Maverick T station and 2 stops to Central Boston. Neighborhood shops, delis, bakeries, and markets close by and Alexandr's place is simple, clean, n quiet.|Alexandr is a nice host with what seems like enough experience to run his AirBnBs without issue as I didn't have any. The space is clean, the location had a great view of the city, and you're just a short ride from the airport and a short walk to the subway that goes downtown. |Alexander's place was a perfect place to stay for my quick night in Boston. He was friendly and helpful and the location is close to the airport and the blue line.|Alexandr's place is tidy and clean and the neighborhood is really great. A wonderful park across the street has striking views of downtown Boston. I just stayed for one night to catch a flight in the early morning, but I was so happy I got to stay here. |It was a nice experience to stay at Alexandr's place. The neighborhood is residencial, calm and pretty close to a subway station. Alexandr's is a very nice guy to talk to. He promotly gave me all the infos I need about the house, subway and how to get to Boston downtown.|Room near Airport and Downtown with Breakfast|East Boston|Private room|https://a0.muscache.com/im/pictures/791613f3-0f33-4136-9dd8-7571428069c0.jpg?aki_policy=large|https://www.airbnb.com/rooms/15536111
23619|,,,,,,!Henry And Lisa Chen,!|I stayed here with my 12 year old.  We were out a lot, so mainly used apartment for sleeping which was perfect since it's a studio.   There are two windows which make it seem more spacious, but no view.  This wasn't an issue for us bc their is a wonderful space to sit out on the rooftop and enjoy a snack as well as awesome city views.   The location was fantastic...very close to the everything and  convenient store and restaurants next to apartment.   The building was well maintained and safe.   I think the space would be ideal for a single person as well.   |Henry og Lisa var de perfekte vrter! Mine forldre lejede lejligheden (da jeg selv er bosat i Boston) og de var ovenud tilfredse. Lejligheden ligger centralt, lige over for Boston Common og tt p flere T-stop. Faktisk ligger lejligheden i gafstand til de fleste sevrdigheder, s mine forldre fik slet ikke brug for deres metrokort. Lejligheden er ren og rummelig og passer perfekt til et par. Der er ogs adgang til en skn tagterrasse. Henry og Lisa er utroligt venlige og meget fleksible nr det kommer til check in og check ud. Vi vil helst sikkert anbefale lejligheden til kommende gster!|Had a great time staying at Henry and Lisa's airbnb. It has a great location and the place was comfortable and clean. |Had a great stay at Henry and Lisa'a place. Henry was very responsive to any questions or concerns and even met with us to check in and showed us around the building. Clean, safe and great location. Thank you! We will be back :)|Modern, upgraded Beacon Hill Studio|Beacon Hill|Entire home/apt|https://a0.muscache.com/im/pictures/65c2925d-829f-43e1-959d-5ce530de3ae6.jpg?aki_policy=large|https://www.airbnb.com/rooms/23619
3601030|Great place!!!|This apartment is a great launch pad for anyone who wants to visit Boston. And Shira is a considerate, communicative and very kind host! |Comfortable, clean, contemporary apartment. Great location. Shira was an excellent host who made our stay very easy. |Shira's lovely apartment is in one of the best neighborhoods in Boston. She was very reachable through the app and made this a great experience.|Shira's apartment is situated in a great location;  her balcony is a delight in good weather and she responded promptly to an enquiry while we were there|Luxury South End Apartment |South End|Entire home/apt|https://a0.muscache.com/im/pictures/57113512/3a700526_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/3601030
12308927|Thanks Hector!|Hector is very friendly, we had a nice stay.|The place is nice and clean with just everything I needed. Hector was a great host.|Hector is helpful. Room is clean. Convenient location.|Hector was a really nice host, responsive and clear communicator. |1 Cozy Room 3mins walk to Train, 7mins to Airport|East Boston|Private room|https://a0.muscache.com/im/pictures/8588a231-c10c-493d-9742-feaea194a009.jpg?aki_policy=large|https://www.airbnb.com/rooms/12308927
6554785|Ned was great. Quick, pleasant responses to all of my questions,  |Great place!|realy enjoyed our stay in Boston thank you ned for providing this accomodation|Super location. Very central in Boston. The appartement is big, and confortable. I dfinitly recomand it. Thanks to Ned.|Nice location,close to everything.|Apartment close to everything!|Beacon Hill|Entire home/apt|https://a0.muscache.com/im/pictures/85739823/d9b8c267_original.jpg?aki_policy=large|https://www.airbnb.com/rooms/6554785
